2.000000000000000000e+00	7.063360856015739042e-01	5.185140925546891273e-03
2.666666666666666519e+00	7.693687756470640737e-01	5.770088113240536346e-03
3.333333333333333037e+00	8.374542393789973227e-01	6.025522770981915632e-03
4.000000000000000000e+00	9.167893957879642564e-01	7.456239225070928830e-03
4.666666666666666075e+00	9.723073758347351436e-01	6.784792818450586377e-03
5.333333333333333037e+00	1.020314136579223208e+00	9.241170145502476327e-03
6.000000000000000000e+00	1.063766296060512317e+00	8.764958926974895925e-03
6.666666666666666075e+00	1.094317232961947939e+00	8.279795915026560982e-03
7.333333333333333037e+00	1.125779087702528880e+00	7.834833402792520940e-03
8.000000000000000000e+00	1.151696065556036874e+00	1.488523448339313868e-02
